bits per word: 8
max speed: 500000 Hz (500 KHz)
DIO initialized
DAC initialized
Encoder Initialized
Encoder Initialized


 STEERING --> bringing the steering to the center
 CAN THREAD - Starting can thread
MOTION CONTROLLER THREAD STARTED-----> The given argument was : thread startedEncoder cleared
Encoder cleared

HEARTBEAT_THREAD-----> The given argument was : thread started
CAN_THREAD-----> The given argument was : thread started
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 0 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 1 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 2 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 4 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 7 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 9 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 11 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 13 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 15 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 15 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 16 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 16 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 18 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 22 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 23 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 24 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 25 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 27 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 29 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 32 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 35 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
 trac_enc= 0 || steer_enc = 37 || VL0 = 0.0000 || VF0 = 0.0000 || heading = 0
