###Index	Enc	Ang

1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
1	0	0.657788932323
5	1	0.657788932323
9	2	0.657788932323
9	3	0.657788932323
10	4	0.657788932323
11	4	0.657788932323
12	6	0.657788932323
13	7	0.657788932323
14	8	0.657788932323
17	15	0.657788932323
19	21	0.657788932323
22	25	0.882272481918
24	35	0.882272481918
29	57	1.10153543949
33	85	1.32079851627
40	126	1.54006147385
41	141	1.76454496384
47	211	1.98380792141
54	293	1.98380792141
64	454	1.76454496384
68	532	1.76454496384
68	557	1.76454496384
68	584	1.76454496384
68	607	1.76454496384
72	676	1.76454496384
72	700	1.76454496384
76	748	1.76454496384
77	773	1.76454496384
80	798	1.76454496384
83	848	1.76454496384
84	890	1.76454496384
86	934	1.76454496384
89	1000	1.76454496384
91	1040	1.76454496384
93	1060	1.76454496384
95	1141	1.76454496384
97	1177	1.76454496384
98	1198	1.76454496384
100	1230	1.76454496384
100	1230	1.76454496384
101	1248	1.76454496384
101	1280	1.76454496384
103	1297	1.76454496384
103	1326	1.76454496384
105	1341	1.76454496384
105	1367	1.76454496384
106	1396	1.76454496384
107	1565	1.54006147385
113	1602	1.54006147385
113	1615	1.54006147385
113	1627	1.54006147385
114	1640	1.54006147385
116	1696	1.54006147385
118	1720	1.54006147385
118	1744	1.54006147385
119	1768	1.54006147385
120	1794	1.54006147385
120	1805	1.54006147385
120	1819	1.54006147385
121	1847	1.54006147385
122	1872	1.54006147385
123	1897	1.54006147385
124	1910	1.54006147385
124	1922	1.54006147385
124	1937	1.54006147385
124	1952	1.54006147385
125	1965	1.54006147385
125	1982	1.54006147385
126	1999	1.54006147385
127	2012	1.54006147385
127	2026	1.54006147385
128	2041	1.54006147385
128	2057	1.54006147385
129	2084	1.54006147385
129	2101	1.54006147385
129	2304	1.54006147385
135	2364	1.54006147385
135	2378	1.54006147385
136	2408	1.54006147385
137	2436	1.54006147385
137	2450	1.54006147385
137	2465	1.54006147385
137	2480	1.54006147385
139	2509	1.54006147385
140	2540	1.54006147385
140	2554	1.54006147385
140	2569	1.54006147385
140	2569	1.54006147385
142	2599	1.54006147385
143	2644	1.54006147385
143	2675	1.54006147385
145	2706	1.54006147385
145	2722	1.54006147385
146	2775	1.54006147385
162	3256	1.54006147385
162	3273	1.54006147385
162	3303	1.54006147385
162	3321	1.54006147385
163	3348	1.54006147385
164	3375	1.54006147385
164	3402	1.54006147385
166	3443	1.54006147385
167	3470	1.54006147385
168	3552	1.54006147385
168	3563	1.54006147385
170	3585	1.54006147385
171	3608	1.54006147385
171	3618	1.54006147385
171	3629	1.54006147385
171	3641	1.54006147385
171	3661	1.54006147385
171	3672	1.54006147385
171	3682	1.54006147385
172	3703	1.54006147385
172	3714	1.54006147385
172	3726	1.54006147385
172	3736	1.54006147385
172	3758	1.54006147385
172	3778	1.54006147385
172	3788	1.54006147385
172	3788	1.54006147385
172	3798	1.54006147385
173	3817	1.54006147385
173	3826	1.54006147385
173	3826	1.54006147385
173	3836	1.54006147385
173	3847	1.54006147385
173	3857	1.54006147385
173	3857	1.54006147385
173	3877	1.54006147385
173	3887	1.54006147385
173	3905	1.54006147385
173	3916	1.54006147385
173	3927	1.54006147385
174	3948	1.54006147385
174	3959	1.54006147385
174	3983	1.54006147385
175	4005	1.54006147385
175	4005	1.54006147385
175	4017	1.54006147385
175	4042	1.54006147385
175	4055	1.54006147385
176	4079	1.54006147385
177	4133	1.54006147385
177	4161	1.54006147385
178	4175	1.54006147385
178	4190	1.54006147385
178	4205	1.54006147385
179	4221	1.54006147385
179	4221	1.54006147385
179	4251	1.54006147385
179	4280	1.54006147385
179	4299	1.54006147385
180	4314	1.54006147385
180	4346	1.54006147385
181	4360	1.54006147385
182	4396	1.54006147385
182	4429	1.54006147385
183	4445	1.54006147385
183	4477	1.54006147385
184	4515	1.32079851627
184	4532	1.32079851627
184	4551	1.32079851627
185	4584	1.32079851627
185	4601	1.32079851627
186	4631	1.32079851627
186	4649	1.32079851627
186	4649	1.32079851627
186	4666	1.32079851627
186	4701	1.32079851627
186	4701	1.32079851627
186	4719	1.32079851627
187	4736	1.32079851627
187	4736	1.32079851627
187	4751	1.32079851627
187	4767	1.32079851627
187	4782	1.32079851627
187	4795	1.32079851627
187	4795	1.32079851627
187	4811	1.32079851627
187	4826	1.32079851627
187	4826	1.32079851627
187	4842	1.32079851627
187	4857	1.32079851627
188	4885	1.32079851627
189	4931	1.32079851627
189	4958	1.32079851627
189	4970	1.32079851627
189	4986	1.32079851627
189	5000	1.32079851627
190	5029	1.32079851627
190	5029	1.32079851627
190	5043	1.32079851627
191	5084	1.32079851627
191	5095	1.32079851627
191	5123	1.32079851627
191	5135	1.32079851627
191	5135	1.32079851627
192	5161	1.32079851627
192	5173	1.32079851627
192	5188	1.32079851627
193	5213	1.32079851627
193	5226	1.32079851627
193	5238	1.32079851627
193	5262	1.32079851627
193	5274	1.32079851627
193	5298	1.32079851627
194	5310	1.32079851627
194	5321	1.32079851627
194	5334	1.32079851627
194	5346	1.32079851627
194	5357	1.32079851627
194	5368	1.32079851627
194	5368	1.32079851627
194	5380	1.32079851627
195	5393	1.32079851627
195	5404	1.32079851627
195	5415	1.32079851627
195	5427	1.32079851627
195	5439	1.32079851627
196	5464	1.32079851627
196	5476	1.32079851627
196	5487	1.32079851627
196	5500	1.32079851627
196	5512	1.32079851627
196	5526	1.32079851627
196	5538	1.32079851627
197	5563	1.32079851627
197	5577	1.32079851627
197	5591	1.32079851627
197	5630	1.32079851627
198	5643	1.32079851627
198	5657	1.32079851627
198	5672	1.32079851627
198	5684	1.32079851627
198	5697	1.32079851627
198	5697	1.32079851627
198	5712	1.32079851627
198	5726	1.32079851627
199	5740	1.32079851627
199	5757	1.32079851627
199	5771	1.32079851627
199	5786	1.32079851627
200	5816	1.32079851627
200	5831	1.32079851627
200	5848	1.32079851627
200	5861	1.32079851627
200	5876	1.32079851627
200	5893	1.32079851627
201	5908	1.32079851627
201	5924	1.32079851627
201	5940	1.32079851627
202	5956	1.32079851627
202	5970	1.32079851627
202	5986	1.32079851627
203	6001	1.32079851627
203	6034	1.32079851627
204	6049	1.32079851627
204	6065	1.32079851627
204	6078	1.32079851627
204	6093	1.32079851627
205	6108	1.32079851627
205	6125	1.32079851627
206	6153	1.32079851627
206	6183	1.32079851627
207	6198	1.10153543949
207	6212	1.10153543949
207	6243	1.10153543949
209	6461	1.10153543949
209	6477	1.10153543949
209	6491	1.10153543949
209	6505	1.10153543949
210	6538	1.10153543949
210	6551	1.10153543949
210	6566	1.10153543949
211	6599	1.10153543949
211	6616	1.10153543949
211	6647	1.10153543949
212	6697	1.10153543949
212	6732	1.10153543949
212	6749	1.10153543949
212	6763	1.10153543949
213	6814	1.10153543949
214	6847	1.10153543949
215	6863	1.10153543949
215	6879	1.10153543949
218	7120	1.10153543949
219	7150	1.10153543949
219	7163	1.10153543949
219	7180	1.10153543949
219	7194	1.10153543949
219	7209	1.10153543949
220	7223	1.10153543949
220	7237	1.10153543949
221	7268	1.10153543949
221	7283	1.10153543949
221	7297	1.10153543949
222	7311	1.10153543949
222	7311	1.10153543949
222	7327	1.10153543949
222	7340	1.10153543949
222	7355	1.10153543949
222	7368	1.10153543949
222	7382	1.10153543949
223	7396	1.10153543949
223	7424	1.10153543949
224	7463	1.10153543949
224	7478	1.10153543949
225	7492	1.10153543949
225	7520	1.10153543949
225	7535	1.10153543949
225	7547	1.10153543949
225	7547	1.10153543949
226	7559	1.10153543949
226	7572	1.10153543949
226	7596	1.10153543949
